Source,Target,Weight
UKR,AZE,45.033
UKR,ARM,3514.544
UKR,BGR,922.396
UKR,MMR,9170.107
UKR,BLR,5957.728
UKR,KHM,320.112
UKR,DNK,1011.363
UKR,ECU,6698.937
UKR,FRA,1641.774
UKR,DEU,5040.685
UKR,GRC,4615.286
UKR,IDN,616618.625
UKR,ISR,92057.3
UKR,ITA,44163.88
UKR,CIV,2058.038
UKR,JOR,37106.963
UKR,KEN,44884.185
UKR,KOR,119335.223
UKR,KWT,8.459
UKR,LTU,1403.307
UKR,MYS,45913.889
UKR,MAR,180418.555
UKR,NLD,30301.91
UKR,NOR,539.026
UKR,PHL,247420.513
UKR,POL,1241.648
UKR,SEN,8165.132
UKR,ZAF,16162.917
UKR,ZWE,8002.138
UKR,ESP,108022.777
UKR,CHE,1460.77
UKR,THA,185377.979
UKR,ARE,3186.941
UKR,TUN,199889.845
UKR,TUR,211838.658
UKR,GBR,13855.557
UKR,BFA,122.926
UKR,YEM,71708.162
