Source,Target,Weight,SourceZone,TargetZone
ALB,FRA,9.97,Europe,Europe
DZA,CAN,0.82,Africa,North America
AZE,IRN,315.0,Asia,Asia
ARG,DZA,50592.525,South America,Africa
ARG,BGD,72966.719,South America,Asia
ARG,BOL,10714.695,South America,South America
ARG,BRA,1166823.861,South America,South America
ARG,KHM,629.293,South America,Asia
ARG,CAN,2626.933,South America,North America
ARG,CHL,93133.742,South America,South America
ARG,COL,4193.285,South America,South America
ARG,COG,2751.798,South America,Africa
ARG,ECU,22016.175,South America,South America
ARG,FRA,3.185,South America,Europe
ARG,DEU,44.514,South America,Europe
ARG,IDN,436978.98,South America,Asia
ARG,ITA,1.143,South America,Europe
ARG,KEN,103214.288,South America,Africa
ARG,KOR,0.036000000000000004,South America,Asia
ARG,MDG,4697.458,South America,Africa
ARG,MYS,10017.496,South America,Asia
ARG,MAR,19867.874,South America,Africa
ARG,NAM,1228.824,South America,Africa
ARG,NLD,1354.083,South America,Europe
ARG,NZL,3522.212,South America,Oceania
ARG,NGA,69240.766,South America,Africa
ARG,PRY,7.289,South America,South America
ARG,PER,57660.673,South America,South America
ARG,PHL,12093.336,South America,Asia
ARG,RWA,4266.501,South America,Africa
ARG,SEN,5551.836,South America,Africa
ARG,VNM,53453.758,South America,Asia
ARG,ZAF,1946.4530000000002,South America,Africa
ARG,SWZ,1658.317,South America,Africa
ARG,CHE,1505.672,South America,Europe
ARG,THA,79822.3,South America,Asia
ARG,ARE,4004.578,South America,Asia
ARG,UGA,43139.922,South America,Africa
ARG,USA,9496.780999999999,South America,North America
ARG,URY,297.407,South America,South America
ARG,ZMB,2105.574,South America,Africa
AUS,ARG,0.121,Oceania,South America
AUS,BHR,28020.138,Oceania,Asia
AUS,SLB,5708.684,Oceania,Oceania
AUS,BRN,8.554,Oceania,Asia
AUS,MMR,50756.568,Oceania,Asia
AUS,KHM,3017.7400000000002,Oceania,Asia
AUS,CAN,0.787,Oceania,North America
AUS,LKA,19063.021,Oceania,Asia
AUS,CHL,0.134,Oceania,South America
AUS,CHN,89561.785,Oceania,Asia
AUS,FJI,50555.625,Oceania,Oceania
AUS,FRA,10.722,Oceania,Europe
AUS,PYF,166.006,Oceania,Oceania
AUS,HKG,159.02499999999998,Oceania,Asia
AUS,IDN,246789.334,Oceania,Asia
AUS,IRL,0.59,Oceania,Europe
AUS,JPN,253589.799,Oceania,Asia
AUS,JOR,80.452,Oceania,Asia
AUS,KEN,12358.793,Oceania,Africa
AUS,KOR,309275.815,Oceania,Asia
AUS,KWT,113788.053,Oceania,Asia
AUS,LUX,20.969,Oceania,Europe
AUS,MYS,148320.356,Oceania,Asia
AUS,MUS,51.877,Oceania,Africa
AUS,OMN,22358.909,Oceania,Asia
AUS,NCL,3769.448,Oceania,Oceania
AUS,NZL,116435.39,Oceania,Oceania
AUS,PNG,62220.997,Oceania,Oceania
AUS,PHL,434714.141,Oceania,Asia
AUS,SAU,1226.634,Oceania,Asia
AUS,IND,534.08,Oceania,Asia
AUS,SGP,28358.093999999997,Oceania,Asia
AUS,VNM,229092.363,Oceania,Asia
AUS,ZAF,0.002,Oceania,Africa
AUS,ESP,0.14,Oceania,Europe
AUS,CHE,0.059,Oceania,Europe
AUS,THA,106867.245,Oceania,Asia
AUS,ARE,24644.551000000003,Oceania,Asia
AUS,EGY,19479.002,Oceania,Africa
AUS,GBR,2709.201,Oceania,Europe
AUS,TZA,144.925,Oceania,Africa
AUS,USA,5.741,Oceania,North America
AUS,WLF,0.034,Oceania,Oceania
AUS,YEM,284041.43799999997,Oceania,Asia
AUT,AZE,392.198,Europe,Asia
AUT,BEL,32.299,Europe,Europe
AUT,BIH,1.133,Europe,Europe
AUT,BGR,1136.0059999999999,Europe,Europe
AUT,BLR,24.841,Europe,Europe
AUT,CAN,0.186,Europe,North America
AUT,CHL,6.626,Europe,South America
AUT,COG,31.663,Europe,Africa
AUT,HRV,635.7729999999999,Europe,Europe
AUT,CYP,814.075,Europe,Asia
AUT,CZE,521.837,Europe,Europe
AUT,DNK,59.06100000000001,Europe,Europe
AUT,FRA,4080.84,Europe,Europe
AUT,GEO,17.084,Europe,Asia
AUT,DEU,39653.019,Europe,Europe
AUT,GRC,1004.6229999999999,Europe,Europe
AUT,HUN,820.355,Europe,Europe
AUT,ITA,132288.335,Europe,Europe
AUT,KAZ,22.737000000000002,Europe,Asia
AUT,LVA,0.6599999999999999,Europe,Europe
AUT,LBY,1.633,Europe,Africa
AUT,LTU,49.425,Europe,Europe
AUT,LUX,265.82,Europe,Europe
AUT,NLD,1875.376,Europe,Europe
AUT,NGA,10.666,Europe,Africa
AUT,POL,349.807,Europe,Europe
AUT,PRT,4.747,Europe,Europe
AUT,ROU,2599.9449999999997,Europe,Europe
AUT,RUS,165.34199999999998,Europe,Asia
AUT,SRB,11.583,Europe,Europe
AUT,SVK,509.551,Europe,Europe
AUT,SVN,1983.204,Europe,Europe
AUT,ESP,2564.803,Europe,Europe
AUT,SWE,74.346,Europe,Europe
AUT,CHE,14832.464,Europe,Europe
AUT,THA,7853.946,Europe,Asia
AUT,TUR,2.391,Europe,Asia
AUT,TKM,18.859,Europe,Asia
AUT,UKR,143.60399999999998,Europe,Europe
AUT,MKD,834.634,Europe,Europe
AUT,GBR,4.92,Europe,Europe
AUT,USA,14.058,Europe,North America
AUT,BFA,0.089,Europe,Africa
BHR,BRN,3.72,Asia,Asia
BGD,IRL,1.771,Asia,Europe
BGD,SGP,1.264,Asia,Asia
ARM,BEL,1.012,Asia,Europe
ARM,FRA,4.169,Asia,Europe
ARM,USA,6.101,Asia,North America
BEL,AUT,1873.8609999999999,Europe,Europe
BEL,BHR,13.125,Europe,Asia
BEL,BDI,0.012,Europe,Africa
BEL,CAN,0.069,Europe,North America
BEL,COG,0.038,Europe,Africa
BEL,COD,0.374,Europe,Africa
BEL,CYP,0.092,Europe,Asia
BEL,CZE,389.63100000000003,Europe,Europe
